<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.11	22:55:00	1.19889	1.19892	1.19884	1.19887	35	0	1
2021.03.11	22:56:00	1.19887	1.19889	1.19880	1.19880	27	0	1
2021.03.11	22:57:00	1.19880	1.19882	1.19877	1.19880	40	0	1
2021.03.11	22:58:00	1.19881	1.19892	1.19877	1.19891	66	0	1
2021.03.11	22:59:00	1.19891	1.19896	1.19886	1.19893	65	0	1
2021.03.11	23:00:00	1.19893	1.19898	1.19892	1.19893	52	0	1
2021.03.11	23:01:00	1.19893	1.19900	1.19893	1.19899	63	0	1
2021.03.11	23:02:00	1.19899	1.19899	1.19892	1.19893	30	0	1
2021.03.11	23:03:00	1.19893	1.19893	1.19888	1.19889	26	0	1
2021.03.11	23:04:00	1.19888	1.19890	1.19888	1.19888	7	0	1
2021.03.11	23:05:00	1.19889	1.19895	1.19886	1.19895	16	0	1
2021.03.11	23:06:00	1.19895	1.19898	1.19894	1.19898	9	0	1
2021.03.11	23:07:00	1.19898	1.19899	1.19896	1.19897	26	0	1
2021.03.11	23:08:00	1.19897	1.19898	1.19896	1.19896	9	0	1
2021.03.11	23:09:00	1.19896	1.19900	1.19896	1.19899	16	0	1
2021.03.11	23:10:00	1.19899	1.19899	1.19896	1.19898	18	0	1
2021.03.11	23:11:00	1.19897	1.19898	1.19891	1.19894	18	0	1
2021.03.11	23:12:00	1.19894	1.19896	1.19893	1.19896	19	0	1
2021.03.11	23:13:00	1.19897	1.19897	1.19893	1.19896	8	0	1
2021.03.11	23:14:00	1.19895	1.19896	1.19888	1.19892	18	0	1
2021.03.11	23:15:00	1.19892	1.19895	1.19860	1.19861	20	0	1
2021.03.11	23:16:00	1.19861	1.19873	1.19861	1.19871	19	0	1
2021.03.11	23:17:00	1.19872	1.19878	1.19872	1.19876	22	0	1
2021.03.11	23:18:00	1.19876	1.19877	1.19876	1.19877	8	0	1
2021.03.11	23:19:00	1.19876	1.19878	1.19876	1.19877	4	0	1
2021.03.11	23:20:00	1.19875	1.19880	1.19875	1.19879	11	0	1
2021.03.11	23:21:00	1.19879	1.19887	1.19879	1.19886	25	0	1
