Date,Time,Open,High,Low,Close,Tick,Volume,Spread
2021.03.01,12:20:00,111670,111760,111650,111750,11789,48743,5
2021.03.01,12:21:00,111750,111780,111665,111685,10655,47011,5
2021.03.01,12:22:00,111680,111715,111520,111610,17170,61931,5
2021.03.01,12:23:00,111610,111625,111510,111550,10136,43164,5
2021.03.01,12:24:00,111550,111625,111420,111435,11618,46867,5
2021.03.01,12:25:00,111435,111490,111365,111485,15501,56432,5
2021.03.01,12:26:00,111485,111495,111285,111310,13513,51026,5
2021.03.01,12:27:00,111305,111320,111255,111310,8540,32556,5
2021.03.01,12:28:00,111310,111315,111225,111280,8215,29112,5
2021.03.01,12:29:00,111275,111335,111200,111230,9617,35946,5
2021.03.01,12:30:00,111230,111310,111225,111255,8860,36841,5
2021.03.01,12:31:00,111250,111255,111120,111165,14249,55655,5
2021.03.01,12:32:00,111165,111195,111110,111165,8075,33344,5
2021.03.01,12:33:00,111160,111235,111160,111195,7437,31735,5
2021.03.01,12:34:00,111195,111225,111150,111175,5505,23171,5
2021.03.01,12:35:00,111180,111400,111160,111380,20539,80549,5
2021.03.01,12:36:00,111385,111495,111365,111490,12008,44543,5
2021.03.01,12:37:00,111490,111555,111480,111505,10747,40123,5
2021.03.01,12:38:00,111505,111505,111350,111365,11133,41519,5
2021.03.01,12:39:00,111370,111390,111250,111380,13110,49683,5
2021.03.01,12:40:00,111380,111510,111350,111495,13399,55549,5
2021.03.01,12:41:00,111495,111555,111425,111460,12191,52209,5
2021.03.01,12:42:00,111460,111520,111430,111500,5735,23511,5
2021.03.01,12:43:00,111500,111610,111470,111585,10693,41380,5
2021.03.01,12:44:00,111590,111630,111500,111610,9002,36332,5
2021.03.01,12:45:00,111610,111760,111575,111710,14444,59823,5
2021.03.01,12:46:00,111715,111720,111510,111585,14851,58710,5
2021.03.01,12:47:00,111585,111585,111485,111525,9095,39531,5
2021.03.01,12:48:00,111525,111720,111480,111715,12752,51707,5
2021.03.01,12:49:00,111715,111805,111655,111770,15119,56871,5
2021.03.01,12:50:00,111765,111830,111725,111780,10278,39678,5
2021.03.01,12:51:00,111785,111890,111730,111740,16365,66282,5
2021.03.01,12:52:00,111740,111800,111700,111720,10623,42249,5
2021.03.01,12:53:00,111720,111785,111700,111775,6158,26491,5
2021.03.01,12:54:00,111770,111820,111740,111800,7350,30029,5
2021.03.01,12:55:00,111805,111830,111735,111765,6676,27364,5
2021.03.01,12:56:00,111765,111920,111735,111895,15103,66643,5
2021.03.01,12:57:00,111895,111920,111850,111875,7214,33311,5
2021.03.01,12:58:00,111880,111935,111785,111905,12713,51007,5
2021.03.01,12:59:00,111905,111910,111800,111810,6415,26375,5
2021.03.01,13:00:00,111810,111840,111675,111785,15623,60919,5
2021.03.01,13:01:00,111785,111790,111660,111675,9059,38119,5
2021.03.01,13:02:00,111670,111740,111645,111700,9568,39907,5
2021.03.01,13:03:00,111700,111780,111690,111730,6520,26976,5
2021.03.01,13:04:00,111730,111815,111725,111780,6620,27134,5
2021.03.01,13:05:00,111775,111860,111775,111790,8746,34447,5
2021.03.01,13:06:00,111790,111835,111750,111785,6669,27902,5
2021.03.01,13:07:00,111790,111915,111790,111890,9759,42780,5
2021.03.01,13:08:00,111895,111970,111890,111965,12758,49236,5
